name                tableid offset size type rule dropped  next
------------------- ------- ------ ---- ---- ---- ------- -----
name                     43      0   64    3    0       0 43324
if_index                 43     64    4    2    0       0 43325
pause_active             43     68    1    2    5       0 43326
hidden                   43     69    1    2    5       0 43520
wire_speed               43     72    8    2    5       0 43521
counters.pkts_in         43     80    8    2    2       0 43522
counters.bytes_in        43     88    8    2    2       0 43523
counters.pkts_out        43     96    8    2    2       0 43524
counters.bytes_out       43    104    8    2    2       0 43525
counters.mcast_in        43    112    8    2    2       0 43526
counters.mcast_out       43    120    8    2    2       0 43527
counters.errors_in       43    128    8    2    2       0 43528
counters.errors_out      43    136    8    2    2       0 43529
counters.drops_in        43    144    8    2    2       0 43530
counters.drops_out       43    152    8    2    2       0 43531
counters.collisions      43    160    8    2    2       0 43532
counters.qq_in           43    168    8    2    2       0 43533
counters.qq_out          43    176    8    2    2       0 43534
resets                   43    184    8    2    2       0 43535
rx_pkts                  43    192    8    2    2       0 43536
rx_broadcast             43    200    8    2    2       0 43537
rx_xoff                  43    208    8    2    2       0 43538
rx_on                    43    216    8    2    2       0 43539
rx_64byte                43    224    8    2    2       0 43540
rx_127byte               43    232    8    2    2       0 43541
rx_255byte               43    240    8    2    2       0 43542
rx_511byte               43    248    8    2    2       0 43543
rx_1023byte              43    256    8    2    2       0 43544
rx_1522byte              43    264    8    2    2       0 43545
rx_jumbo                 43    272    8    2    2       0 43546
rx_gt_jumbo              43    280    8    2    2       0 43547
rx_bytes                 43    288    8    2    2       0 43548
rx_no_bds                43    296    8    2    2       0 43549
rx_hw_drop               43    304    8    2    2       0 43550
tx_pkts                  43    312    8    2    2       0 43551
tx_broadcast             43    320    8    2    2       0 43552
tx_xoff                  43    328    8    2    2       0 43553
tx_on                    43    336    8    2    2       0 43554
tx_64byte                43    344    8    2    2       0 43555
tx_127byte               43    352    8    2    2       0 43556
tx_255byte               43    360    8    2    2       0 43557
tx_511byte               43    368    8    2    2       0 43558
tx_1023byte              43    376    8    2    2       0 43559
tx_1522byte              43    384    8    2    2       0 43560
tx_jumbo                 43    392    8    2    2       0 43561
tx_gt_jumbo              43    400    8    2    2       0 43562
tx_bytes                 43    408    8    2    2       0 43563
tx_lost_carrier          43    416    8    2    2       0 43564
tx_hw_drop               43    424    8    2    2       0 43565
pkts_out0                43    432    8    2    2       0 43566
pkts_out1                43    440    8    2    2       0 43567
pkts_out2                43    448    8    2    2       0 43568
pkts_out3                43    456    8    2    2       0 43569
pkts_out4                43    464    8    2    2       0 43570
pkts_out5                43    472    8    2    2       0 43571
pkts_out6                43    480    8    2    2       0 43572
pkts_out7                43    488    8    2    2       0 43573
bytes_out0               43    496    8    2    2       0 43574
bytes_out1               43    504    8    2    2       0 43575
bytes_out2               43    512    8    2    2       0 43576
bytes_out3               43    520    8    2    2       0 43577
bytes_out4               43    528    8    2    2       0 43578
bytes_out5               43    536    8    2    2       0 43579
bytes_out6               43    544    8    2    2       0 43580
bytes_out7               43    552    8    2    2       0 43581
drop_pkts0               43    560    8    2    2       0 43582
drop_pkts1               43    568    8    2    2       0 43776
drop_pkts2               43    576    8    2    2       0 43777
drop_pkts3               43    584    8    2    2       0 43778
drop_pkts4               43    592    8    2    2       0 43779
drop_pkts5               43    600    8    2    2       0 43780
drop_pkts6               43    608    8    2    2       0 43781
drop_pkts7               43    616    8    2    2       0 43782
drop_bytes0              43    624    8    2    2       0 43783
drop_bytes1              43    632    8    2    2       0 43784
drop_bytes2              43    640    8    2    2       0 43785
drop_bytes3              43    648    8    2    2       0 43786
drop_bytes4              43    656    8    2    2       0 43787
drop_bytes5              43    664    8    2    2       0 43788
drop_bytes6              43    672    8    2    2       0 43789
drop_bytes7              43    680    8    2    2       0     0

