name                                tableid offset size type rule dropped  next
----------------------------------- ------- ------ ---- ---- ---- ------- -----
pool_name                               170      0  256    3    0       0 76085
addr                                    170    256   20    6    0       0 76086
port                                    170    276    2    2    0       0 76087
flags                                   170    280    4    2    3       0 76088
cur_sessions                            170    544    8    2    2       0 76089
lb_value                                170    552    8    2    3       0 76090
bias_value                              170    560    8    2    3       0 76091
serverside.pkts_in                      170    288    8    2    2       0 76092
serverside.bytes_in                     170    296    8    2    2       0 76093
serverside.pkts_out                     170    304    8    2    2       0 76094
serverside.bytes_out                    170    312    8    2    2       0 76800
serverside.max_conns                    170    320    8    2    2       0 76801
serverside.tot_conns                    170    328    8    2    2       0 76802
serverside.cur_conns                    170    336    8    2    2       0 76803
serverside.cur_load                     170    344    8    2    2       0 76804
pva.pkts_in                             170    392    8    2    2       0 76805
pva.bytes_in                            170    400    8    2    2       0 76806
pva.pkts_out                            170    408    8    2    2       0 76807
pva.bytes_out                           170    416    8    2    2       0 76808
pva.max_conns                           170    424    8    2    2       0 76809
pva.tot_conns                           170    432    8    2    2       0 76810
pva.cur_conns                           170    440    8    2    2       0 76811
tot_requests                            170    496    8    2    2       0 76812
tot_pva_assist_conn                     170    504    8    2    2       0 76813
curr_pva_assist_conn                    170    512    8    2    2       0 76814
curr_pva_assist_conn_lowpri             170    520    8    2    2       0 76815
curr_pva_assist_conn_mediumpri          170    528    8    2    2       0 76816
curr_pva_assist_conn_highpri            170    536    8    2    2       0 76817
connq.depth                             170    568    4    2    2       0 76818
connq.age_head                          170    576    8    2    4       0 76819
connq.age_max                           170    584    8    2    4       0 76820
connq.age_ema                           170    572    4    2    4       0 76821
connq.age_edm                           170    592    4    2    4       0 76822
connq.serviced                          170    600    8    2    2       0 76823
precision.tot_sync                      170    608    8    2    2       0 76824
precision.tot_async                     170    616    8    2    2       0 76825
precision.delayed                       170    624    8    2    2       0 76826
precision.tot_rejected                  170    632    8    2    2       0 76827
precision.tot_retry                     170    640    8    2    2       0 76828
precision.is_locked                     170    648    8    2    4       0 76829
precision.tot_locked                    170    656    8    2    2       0 76830
precision.tot_unlocked                  170    664    8    2    2       0 76831
precision.last_locked                   170    672    8    2    4       0 76832
precision.dura_locked                   170    680    8    2    4       0 76833
precision.latency                       170    688    8    2    4       0 76834
precision.last_value                    170    696    8    2    4       0 76835
precision.value                         170    704    8    2    4       0 76836
hornet.client_syn_received              170    712    8    2    2       0 76837
hornet.normal_teardowns_completed       170    720    8    2    2       0 76838
hornet.duplicate_syn_received           170    728    8    2    2       0 76839
hornet.client_rst_received              170    736    8    2    2       0 76840
hornet.server_rst_received              170    744    8    2    2       0 76841
hornet.port_retry_count                 170    752    8    2    2       0 76842
hornet.way_collision_count              170    760    8    2    2       0 76843
hornet.way_full_count                   170    768    8    2    2       0 76844
hornet.client_pkt_unknown_flow          170    776    8    2    2       0 76845
hornet.server_pkt_unknown_flow          170    784    8    2    2       0 76846
hornet.connection_created               170    792    8    2    2       0 76847
hornet.embryonic_promoted               170    800    8    2    2       0 76848
hornet.client_pkt_expired_embryonic     170    808    8    2    2       0 76849
hornet.server_pkt_expired_embryonic     170    816    8    2    2       0 76850
hornet.client_pkt_expired_active        170    824    8    2    2       0 76851
hornet.server_pkt_expired_active        170    832    8    2    2       0 76852
hornet.client_pkt_expired_timewait      170    840    8    2    2       0 76853
hornet.server_pkt_expired_timewait      170    848    8    2    2       0 76854
hornet.action_drop                      170    856    8    2    2       0 76855
hornet.action_reset                     170    864    8    2    2       0 76856
hornet.action_xform                     170    872    8    2    2       0 76857
hornet.action_fwd                       170    880    8    2    2       0 76858
msg.msg_in                              170    888    8    2    2       0 76859
msg.msg_out                             170    896    8    2    2       0 76860
msg.req_in                              170    904    8    2    2       0 76861
msg.req_out                             170    912    8    2    2       0 76862
msg.resp_in                             170    920    8    2    2       0 77056
msg.resp_out                            170    928    8    2    2       0     0

