name                                tableid offset size type rule dropped next
----------------------------------- ------- ------ ---- ---- ---- ------- ----
polls                                     7     56    8    2    2       0 1288
idle_polls                                7    288    8    2    2       0 1289
pid                                       7      0    4    2    0       0 1290
cpu                                       7      4    2    2    0       0 1291
slot_id                                   7      6    2    2    0       0 1292
client_side_traffic.pkts_in               7     64    8    2    2       0 1293
client_side_traffic.bytes_in              7     72    8    2    2       0 1294
client_side_traffic.pkts_out              7     80    8    2    2       0 1295
client_side_traffic.bytes_out             7     88    8    2    2       0 1296
client_side_traffic.max_conns             7     96    8    2    2       0 1297
client_side_traffic.tot_conns             7    104    8    2    2       0 1298
client_side_traffic.cur_conns             7    112    8    2    2       0 1299
client_side_traffic.slow_conns            7    128    8    2    2       0 1300
client_side_traffic.expired_conns         7    136    8    2    2       0 1301
client_side_traffic.slow_killed           7    144    8    2    2       0 1302
client_side_traffic.evicted_conns         7    152    8    2    2       0 1303
client_side_traffic.other_killed          7    160    8    2    2       0 1304
server_side_traffic.pkts_in               7    168    8    2    2       0 1305
server_side_traffic.bytes_in              7    176    8    2    2       0 1306
server_side_traffic.pkts_out              7    184    8    2    2       0 1307
server_side_traffic.bytes_out             7    192    8    2    2       0 1308
server_side_traffic.max_conns             7    200    8    2    2       0 1309
server_side_traffic.tot_conns             7    208    8    2    2       0 1310
server_side_traffic.cur_conns             7    216    8    2    2       0 1311
server_side_traffic.slow_conns            7    232    8    2    2       0 1312
server_side_traffic.expired_conns         7    240    8    2    2       0 1313
server_side_traffic.slow_killed           7    248    8    2    2       0 1314
server_side_traffic.evicted_conns         7    256    8    2    2       0 1315
server_side_traffic.other_killed          7    264    8    2    2       0 1316
tm_total_cycles                           7    272    8    2    2       0 1317
tm_idle_cycles                            7    280    8    2    2       0 1318
tm_sleep_cycles                           7    312    8    2    2       0 1319
max_sleep_cycles_1sec                     7    320    8    2    2       0 1320
max_sleep_cycles_1min                     7    328    8    2    2       0 1321
max_sleep_cycles_1hr                      7    336    8    2    2       0 1322
max_poll_cycles_1sec                      7    344    8    2    2       0 1323
max_poll_cycles_1min                      7    352    8    2    2       0 1324
max_poll_cycles_1hr                       7    360    8    2    2       0 1325
cpu_usage_1sec                            7    368    8    2    2       0 1326
cpu_usage_5secs                           7    376    8    2    2       0 1327
cpu_usage_15secs                          7    384    8    2    2       0 1328
cpu_usage_1min                            7    392    8    2    2       0 1329
cpu_usage_5mins                           7    400    8    2    2       0 1330
cpu_usage_15mins                          7    408    8    2    2       0 1331
maintenance_mode_deny                     7    416    8    2    2       0 1332
max_conn_virtual_address_deny             7    424    8    2    2       0 1333
max_conn_virtual_path_deny                7    432    8    2    2       0 1334
max_conn_rtdom_path_deny                  7    440    8    2    2       0 1335
virtual_server_non_syn_deny               7    448    8    2    2       0 1336
no_handler_deny                           7    456    8    2    2       0 1337
last_hit_time_deny_acl                    7    464    8    2    4       0 1338
no_staged_handler_deny                    7    472    8    2    2       0 1339
last_hit_time_deny_staged_acl             7    480    8    2    4       0 1340
license_deny                              7    488    8    2    2       0 1341
cmp_conn_redirected                       7    496    8    2    2       0 1342
invalid_cmp_state                         7    504    8    2    2       0 2048
connection_memory_errors                  7    512    8    2    2       0 2049
memory_total                              7      8    8    2    2       0 2050
memory_used                               7     16    8    2    2       0 2051
dropped_packets                           7    520    8    2    2       0 2052
incoming_packet_errors                    7    528    8    2    2       0 2053
outgoing_packet_errors                    7    536    8    2    2       0 2054
http_requests                             7     24    8    2    2       0 2055
port_find_failures                        7    552    8    2    2       0 2056
non_default_hash_port_find_failures       7    560    8    2    2       0 2057
dag_find_local_port_failures              7    576    8    2    2       0 2058
port_find_sequentials                     7    584    8    2    2       0 2059
port_find_non_sequentials                 7    592    8    2    2       0 2060
port_find_reuse_dying_flows               7    600    8    2    2       0 2061
port_find_next_port_advances              7    608    8    2    2       0 2062
port_find_repick                          7    544    8    2    2       0 2063
tot_tmms                                  7     32    8    2    2       0 2064
ticks                                     7     48    8    2    2       0 2065
hz                                        7     40    8    2    2       0 2066
connection_flow_miss                      7    632    8    2    2       0 2067
dos_tscookie_pkts_accepted                7    640    8    2    2       0 2068
dos_tscookie_pkts_dropped                 7    648    8    2    2       0 2069
dos_synack_cookie_generates               7    656    8    2    2       0 2070
dos_synack_cookie_accepts                 7    664    8    2    2       0 2071
dos_synack_cookie_rejects                 7    672    8    2    2       0 2072
dos_rst_cookie_accepts                    7    680    8    2    2       0 2073
dos_rst_cookie_rejects                    7    688    8    2    2       0 2074
global_sc_stats.syncookies                7    728    8    2    2       0 2075
global_sc_stats.accepts                   7    736    8    2    2       0 2076
global_sc_stats.rejects                   7    744    8    2    2       0 2077
global_sc_stats.hw_syncookies             7    752    8    2    2       0 2078
global_sc_stats.hw_accepts                7    760    8    2    2       0 2079
global_sc_stats.wl_hits                   7    776    8    2    2       0 2080
global_sc_stats.wl_accepts                7    784    8    2    2       0 2081
global_sc_stats.wl_rejects                7    792    8    2    2       0    0

